,precision,recall,f1-score,support
001_L,1.0,1.0,1.0,3.0
001_R,1.0,1.0,1.0,3.0
002_L,0.75,1.0,0.8571428571428571,3.0
002_R,0.0,0.0,0.0,3.0
003_L,1.0,1.0,1.0,3.0
003_R,0.0,0.0,0.0,3.0
004_L,0.0,0.0,0.0,3.0
004_R,0.0,0.0,0.0,3.0
005_L,1.0,1.0,1.0,3.0
005_R,0.0,0.0,0.0,3.0
006_L,0.0,0.0,0.0,3.0
006_R,0.0,0.0,0.0,3.0
007_L,1.0,1.0,1.0,3.0
007_R,1.0,1.0,1.0,3.0
008_L,1.0,0.3333333333333333,0.5,3.0
008_R,0.5,0.6666666666666666,0.5714285714285714,3.0
009_L,1.0,1.0,1.0,3.0
009_R,0.6,1.0,0.75,3.0
010_L,1.0,1.0,1.0,3.0
010_R,1.0,1.0,1.0,3.0
011_L,1.0,1.0,1.0,3.0
011_R,0.5,1.0,0.6666666666666666,3.0
012_L,1.0,1.0,1.0,3.0
012_R,1.0,1.0,1.0,3.0
013_L,0.6,1.0,0.75,3.0
013_R,1.0,1.0,1.0,3.0
014_L,1.0,1.0,1.0,3.0
014_R,1.0,1.0,1.0,3.0
015_L,1.0,1.0,1.0,3.0
015_R,1.0,1.0,1.0,3.0
016_L,0.75,1.0,0.8571428571428571,3.0
016_R,1.0,1.0,1.0,3.0
017_L,1.0,1.0,1.0,3.0
017_R,0.75,1.0,0.8571428571428571,3.0
018_L,1.0,1.0,1.0,3.0
018_R,1.0,1.0,1.0,3.0
019_L,1.0,1.0,1.0,3.0
019_R,1.0,1.0,1.0,3.0
020_L,1.0,1.0,1.0,3.0
020_R,1.0,1.0,1.0,3.0
021_L,0.0,0.0,0.0,3.0
021_R,0.0,0.0,0.0,3.0
022_L,1.0,1.0,1.0,3.0
022_R,1.0,0.6666666666666666,0.8,3.0
023_L,0.0,0.0,0.0,3.0
023_R,1.0,1.0,1.0,3.0
024_L,1.0,1.0,1.0,3.0
024_R,1.0,1.0,1.0,3.0
025_L,1.0,1.0,1.0,3.0
025_R,1.0,1.0,1.0,3.0
026_L,1.0,0.6666666666666666,0.8,3.0
026_R,1.0,1.0,1.0,3.0
027_L,0.0,0.0,0.0,3.0
027_R,1.0,0.3333333333333333,0.5,3.0
028_L,0.6,1.0,0.75,3.0
028_R,1.0,1.0,1.0,3.0
029_L,1.0,1.0,1.0,3.0
029_R,0.0,0.0,0.0,3.0
030_L,1.0,1.0,1.0,3.0
030_R,1.0,1.0,1.0,3.0
031_L,1.0,0.3333333333333333,0.5,3.0
031_R,1.0,1.0,1.0,3.0
032_L,0.75,1.0,0.8571428571428571,3.0
032_R,1.0,1.0,1.0,3.0
033_L,0.75,1.0,0.8571428571428571,3.0
033_R,1.0,0.6666666666666666,0.8,3.0
034_L,1.0,0.6666666666666666,0.8,3.0
034_R,1.0,1.0,1.0,3.0
035_L,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
035_R,1.0,1.0,1.0,3.0
036_L,1.0,0.6666666666666666,0.8,3.0
036_R,0.75,1.0,0.8571428571428571,3.0
037_L,0.42857142857142855,1.0,0.6,3.0
037_R,1.0,1.0,1.0,3.0
038_L,1.0,1.0,1.0,3.0
038_R,1.0,1.0,1.0,3.0
039_L,0.6,1.0,0.75,3.0
039_R,1.0,1.0,1.0,3.0
040_L,0.75,1.0,0.8571428571428571,3.0
040_R,1.0,1.0,1.0,3.0
041_L,1.0,1.0,1.0,3.0
041_R,1.0,0.6666666666666666,0.8,3.0
042_L,1.0,1.0,1.0,3.0
042_R,1.0,1.0,1.0,3.0
043_L,1.0,1.0,1.0,3.0
043_R,1.0,1.0,1.0,3.0
044_L,0.5,1.0,0.6666666666666666,3.0
044_R,0.0,0.0,0.0,3.0
045_L,1.0,1.0,1.0,3.0
045_R,1.0,1.0,1.0,3.0
046_L,1.0,0.6666666666666666,0.8,3.0
046_R,0.0,0.0,0.0,3.0
047_L,1.0,1.0,1.0,3.0
047_R,1.0,1.0,1.0,3.0
048_L,1.0,1.0,1.0,3.0
048_R,0.0,0.0,0.0,3.0
049_L,0.0,0.0,0.0,3.0
049_R,1.0,1.0,1.0,3.0
050_L,1.0,1.0,1.0,3.0
050_R,1.0,1.0,1.0,3.0
051_L,1.0,1.0,1.0,3.0
051_R,1.0,1.0,1.0,3.0
052_L,1.0,1.0,1.0,3.0
052_R,1.0,1.0,1.0,3.0
053_L,1.0,1.0,1.0,3.0
053_R,1.0,1.0,1.0,3.0
054_L,0.75,1.0,0.8571428571428571,3.0
054_R,1.0,1.0,1.0,3.0
055_L,0.75,1.0,0.8571428571428571,3.0
055_R,1.0,1.0,1.0,3.0
056_L,1.0,0.6666666666666666,0.8,3.0
056_R,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
057_L,1.0,1.0,1.0,3.0
057_R,0.0,0.0,0.0,3.0
058_L,1.0,0.6666666666666666,0.8,3.0
058_R,1.0,1.0,1.0,3.0
059_L,0.75,1.0,0.8571428571428571,3.0
059_R,0.6,1.0,0.75,3.0
060_L,0.75,1.0,0.8571428571428571,3.0
060_R,0.3333333333333333,1.0,0.5,3.0
061_L,1.0,1.0,1.0,3.0
061_R,1.0,1.0,1.0,3.0
062_L,0.0,0.0,0.0,3.0
062_R,1.0,0.6666666666666666,0.8,3.0
063_L,1.0,0.3333333333333333,0.5,3.0
063_R,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
064_L,1.0,1.0,1.0,3.0
064_R,0.0,0.0,0.0,3.0
065_L,0.0,0.0,0.0,3.0
065_R,0.5,0.6666666666666666,0.5714285714285714,3.0
066_L,0.6,1.0,0.75,3.0
066_R,1.0,1.0,1.0,3.0
067_L,1.0,1.0,1.0,3.0
067_R,0.6,1.0,0.75,3.0
068_L,0.5,0.3333333333333333,0.4,3.0
068_R,1.0,0.6666666666666666,0.8,3.0
069_L,0.42857142857142855,1.0,0.6,3.0
069_R,0.75,1.0,0.8571428571428571,3.0
070_L,1.0,1.0,1.0,3.0
070_R,1.0,1.0,1.0,3.0
071_L,1.0,0.3333333333333333,0.5,3.0
071_R,0.0,0.0,0.0,3.0
072_L,1.0,1.0,1.0,3.0
072_R,1.0,1.0,1.0,3.0
073_L,1.0,1.0,1.0,3.0
073_R,1.0,1.0,1.0,3.0
074_L,1.0,1.0,1.0,3.0
074_R,1.0,1.0,1.0,3.0
075_L,0.75,1.0,0.8571428571428571,3.0
075_R,0.75,1.0,0.8571428571428571,3.0
076_L,1.0,1.0,1.0,3.0
076_R,0.75,1.0,0.8571428571428571,3.0
077_L,1.0,1.0,1.0,3.0
077_R,1.0,1.0,1.0,3.0
078_L,1.0,1.0,1.0,3.0
078_R,0.75,1.0,0.8571428571428571,3.0
079_L,1.0,1.0,1.0,3.0
079_R,0.75,1.0,0.8571428571428571,3.0
080_L,1.0,1.0,1.0,3.0
080_R,0.75,1.0,0.8571428571428571,3.0
081_L,1.0,1.0,1.0,3.0
081_R,1.0,1.0,1.0,3.0
082_L,1.0,1.0,1.0,3.0
082_R,0.3,1.0,0.46153846153846156,3.0
083_L,1.0,1.0,1.0,3.0
083_R,0.25,0.3333333333333333,0.2857142857142857,3.0
084_L,0.75,1.0,0.8571428571428571,3.0
084_R,1.0,1.0,1.0,3.0
085_L,0.75,1.0,0.8571428571428571,3.0
085_R,1.0,1.0,1.0,3.0
086_L,0.0,0.0,0.0,3.0
086_R,0.0,0.0,0.0,3.0
087_L,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
087_R,0.42857142857142855,1.0,0.6,3.0
088_L,0.75,1.0,0.8571428571428571,3.0
088_R,0.3,1.0,0.46153846153846156,3.0
089_L,0.75,1.0,0.8571428571428571,3.0
089_R,1.0,1.0,1.0,3.0
090_L,0.0,0.0,0.0,3.0
090_R,0.0,0.0,0.0,3.0
091_L,1.0,1.0,1.0,3.0
091_R,0.0,0.0,0.0,3.0
092_L,0.75,1.0,0.8571428571428571,3.0
092_R,0.5,0.6666666666666666,0.5714285714285714,3.0
093_L,1.0,0.6666666666666666,0.8,3.0
093_R,1.0,1.0,1.0,3.0
094_L,1.0,1.0,1.0,3.0
094_R,1.0,1.0,1.0,3.0
095_L,1.0,1.0,1.0,3.0
095_R,1.0,1.0,1.0,3.0
096_L,0.75,1.0,0.8571428571428571,3.0
096_R,0.75,1.0,0.8571428571428571,3.0
097_L,1.0,1.0,1.0,3.0
097_R,1.0,1.0,1.0,3.0
098_L,1.0,1.0,1.0,3.0
098_R,1.0,1.0,1.0,3.0
099_L,1.0,1.0,1.0,3.0
099_R,1.0,1.0,1.0,3.0
100_L,0.0,0.0,0.0,3.0
100_R,0.0,0.0,0.0,3.0
101_L,1.0,1.0,1.0,3.0
101_R,1.0,1.0,1.0,3.0
102_L,1.0,1.0,1.0,3.0
102_R,1.0,1.0,1.0,3.0
103_L,0.75,1.0,0.8571428571428571,3.0
103_R,1.0,1.0,1.0,3.0
104_L,1.0,1.0,1.0,3.0
104_R,0.75,1.0,0.8571428571428571,3.0
105_L,1.0,0.3333333333333333,0.5,3.0
105_R,1.0,1.0,1.0,3.0
106_L,0.25,0.3333333333333333,0.2857142857142857,3.0
106_R,1.0,1.0,1.0,3.0
107_L,1.0,0.3333333333333333,0.5,3.0
107_R,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
108_L,1.0,1.0,1.0,3.0
108_R,0.0,0.0,0.0,3.0
109_L,0.3333333333333333,1.0,0.5,3.0
109_R,1.0,1.0,1.0,3.0
110_L,0.25,0.3333333333333333,0.2857142857142857,3.0
110_R,0.0,0.0,0.0,3.0
111_L,1.0,1.0,1.0,3.0
111_R,1.0,1.0,1.0,3.0
112_L,1.0,1.0,1.0,3.0
112_R,1.0,1.0,1.0,3.0
113_L,0.75,1.0,0.8571428571428571,3.0
113_R,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.803834808259587,0.803834808259587,0.803834808259587,0.803834808259587
macro avg,0.7706595027391488,0.803834808259587,0.7706000734761798,678.0
weighted avg,0.7706595027391486,0.803834808259587,0.7706000734761798,678.0
